Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42844155,"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Olly Moss,"=""""","=""""",0,Pottermore Publishing,Kindle Edition,333,2015,1997,,2026/09/11,,,read,,,,1,0
29056083,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,"Rowling, J.K.","Jack Thorne, John Tiffany","=""0540027340""","=""9780540027347""",0,"Little, Brown",Hardcover,343,2016,2016,,2026/09/11,,,read,,,,1,0
58613345,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,Scholastic Inc.,Hardcover,672,2005,2005,,2026/09/11,,,read,,,,1,0
58613424,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,Scholastic Inc.,Hardcover,752,2000,2000,,2026/09/11,,,read,,,,1,0
58613451,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043935806X""","=""9780439358064""",0,Scholastic Inc.,Hardcover,896,2003,2003,,2026/09/11,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,Arthur A. Levine Books,Hardcover,341,1999,1998,,2026/09/11,,,read,,,,1,0
58613224,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0545010225""","=""9780545010221""",0,Scholastic Inc.,Hardcover,784,2007,2007,,2026/09/11,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",0,Scholastic Inc.,Mass Market Paperback,547,2004,1999,,2026/09/11,,,read,,,,1,0
214331246,Sunrise on the Reaping (The Hunger Games),Suzanne Collins,"Collins, Suzanne",,"=""1546171460""","=""9781546171461""",0,Scholastic Press,Hardcover,387,2025,2025,,2026/09/11,,,read,,,,1,0
51901147,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",0,Scholastic Press,Kindle Edition,541,2020,2020,,2026/09/11,,,read,,,,1,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",0,Scholastic Press,Hardcover,390,2010,2010,,2026/09/11,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",0,Scholastic Press,Hardcover,391,2009,2009,,2026/09/11,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",0,Scholastic Press,Hardcover,374,2008,2008,,2026/09/11,,,read,,,,1,0
56916837,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",0,Harper Perennial Modern Classics,Paperback,323,2021,1960,,2026/09/11,to-read,to-read (#10),to-read,,,,0,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",0,Signet Classics,Mass Market Paperback,141,1996,1945,,2026/09/11,to-read,to-read (#9),to-read,,,,0,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""0152023984""","=""9780152023980""",0,"Harcourt, Inc.",Hardcover,96,2000,1943,,2026/09/11,,,read,,,,1,0
61439040,1984,George Orwell,"Orwell, George",Thomas Pynchon,"=""0452284236""","=""9780452284234""",0,Plume,Paperback,368,2022,1949,,2026/09/11,,,read,,,,1,0
17245,Dracula,Bram Stoker,"Stoker, Bram","David J. Skal, Nina Auerbach, Rubén Toledo","=""0393970124""","=""9780393970128""",0,Norton,Paperback,488,1986,1897,,2026/09/11,to-read,to-read (#8),to-read,,,,0,0
35031085,Frankenstein,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte  Gordon,"=""0143131842""","=""9780143131847""",0,Penguin Classics,Paperback,260,2018,1818,,2026/09/11,,,read,,,,1,0
222490389,Alchemised,SenLinYu,"SenLinYu, SenLinYu",,"=""0593972708""","=""9780593972700""",0,Del Rey,Hardcover,1030,2025,2025,,2026/09/11,to-read,to-read (#7),to-read,,,,0,0
62627512,"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,"Hoover, Colleen",,"=""""","=""""",0,Atria Books,Hardcover,373,2023,2016,,2026/09/11,,,read,,,,1,0
62848145,"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,"McFadden, Freida",,"=""1837901317""","=""9781837901319""",0,Bookouture,Kindle Edition,311,2023,2023,,2026/09/11,,,read,,,,1,0
59344312,Verity,Colleen Hoover,"Hoover, Colleen",,"=""""","=""""",0,Grand Central Publishing,ebook,336,2021,2018,,2026/09/11,,,read,,,,1,0
60556912,"The Housemaid (The Housemaid, #1)",Freida McFadden,"McFadden, Freida",,"=""1803144378""","=""9781803144375""",0,Bookouture,Kindle Edition,338,2022,2022,,2026/09/11,,,read,,,,1,0
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",0,Vintage Books,Paperback,559,2004,1992,,2026/09/11,,,read,,,,1,0
30319086,If We Were Villains,M.L. Rio,"Rio, M.L.",,"=""125009528X""","=""9781250095282""",0,Flatiron Books,Hardcover,354,2017,2017,,2026/09/11,,,read,,,,1,0
247546631,Taipei Story,R.F. Kuang,"Kuang, R.F.",,"=""0063473747""","=""9780063473744""",0,William Morrow,Hardcover,288,2026,2026,,2026/09/11,to-read,to-read (#6),to-read,,,,0,0
210223811,Katabasis,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",0,HarperVoyager,Kindle Edition,559,2025,2025,,2026/09/11,to-read,to-read (#5),to-read,,,,0,0
57945316,Babel,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",0,Harper Voyager,Hardcover,544,2022,2022,,2026/09/11,to-read,to-read (#4),to-read,,,,0,0
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",0,William Morrow,Paperback,319,2023,2023,,2026/09/11,to-read,to-read (#3),to-read,,,,0,0
41212753,"The Dragon Republic (The Poppy War, #2)",R.F. Kuang,"Kuang, R.F.",,"=""0062662635""","=""9780062662637""",0,Harper Voyager,Hardcover,654,2019,2019,,2026/09/11,,,read,,,,1,0
45857086,"The Burning God (The Poppy War, #3)",R.F. Kuang,"Kuang, R.F.",,"=""0008339147""","=""9780008339142""",0,Harper Voyager,Hardcover,622,2020,2020,,2026/09/11,,,read,,,,1,0
35068705,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,"=""0062662597""","=""9780062662590""",0,Harper Voyager,Kindle Edition,545,2018,2018,,2026/09/11,,,read,,,,1,0
22034,"The Godfather (The Godfather, #1)",Mario Puzo,"Puzo, Mario","Peter Bart, Robert Thompson","=""""","=""""",0,NAL,Paperback,428,2002,1969,,2026/09/11,,,read,,,,1,0
489732,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Robert Mighall,"=""0141439572""","=""9780141439570""",0,Penguin Classics,Paperback,253,2003,1890,,2026/09/11,,,read,,,,1,0
204927599,Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,"Harari, Yuval Noah",,"=""059373422X""","=""9780593734223""",0,Random House,Hardcover,528,2024,2024,,2026/09/11,to-read,to-read (#2),to-read,,,,0,0
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0525512179""","=""9780525512172""",0,Random House,Hardcover,372,2018,2018,,2026/09/11,to-read,to-read (#1),to-read,,,,0,0
43185973,Summary of Homo Deus: A Brief History of Tomorrow by Yuval Noah Harari,Dennis Braun,"Braun, Dennis",,"=""""","=""""",0,,Kindle Edition,28,2018,,,2026/09/11,,,read,,,,1,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,Vintage,Paperback,512,2015,2011,,2026/09/11,,,read,,,,1,0
56620811,The Age of AI and Our Human Future,Henry Kissinger,"Kissinger, Henry","Eric Schmidt, Daniel Huttenlocher","=""0316273805""","=""9780316273800""",0,"Little, Brown and Company",Hardcover,272,2021,,,2026/09/11,,,read,,,,1,0
52857700,"House of Flame and Shadow (Crescent City, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""1681193094""","=""9781681193090""",0,Bloomsbury Publishing,ebook,835,2024,2024,,2026/09/11,,,read,,,,1,0
76715522,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639731067""","=""9781639731060""",0,Bloomsbury Publishing,Hardcover,984,2023,2018,,2026/09/11,,,read,,,,1,0
126062562,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,"Maas, Sarah J.",,"=""1619632217""","=""9781619632219""",0,Bloomsbury Publishing,Kindle Edition,451,2023,2014,,2026/09/11,,,read,,,,1,0
76714487,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639731040""","=""9781639731046""",0,Bloomsbury Publishing,Hardcover,688,2023,2017,,2026/09/11,,,read,,,,1,0
123004944,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",0,Bloomsbury Publishing,Kindle Edition,689,2015,2015,,2026/09/11,,,read,,,,1,0
